"year"	"title"	"url"	"index"	"img_file"	"character_name"	"key"
"2012"	"Trouble with the Curve"	"http://www.imdb.com/title/tt2083383/?ref_=nm_flmg_act_1"	"01"	"Clint Eastwood/img01.jpg"	"Gus"	"troublewiththecurve"
"2008"	"Gran Torino"	"http://www.imdb.com/title/tt1205489/?ref_=nm_flmg_act_2"	"02"	"Clint Eastwood/img02.jpg"	"Walt Kowalski"	"grantorino"
"2004"	"Million Dollar Baby"	"http://www.imdb.com/title/tt0405159/?ref_=nm_flmg_act_3"	"03"	"Clint Eastwood/img03.jpg"	"Frankie Dunn"	"milliondollarbaby"
"2002"	"Blood Work"	"http://www.imdb.com/title/tt0309377/?ref_=nm_flmg_act_4"	"04"	"Clint Eastwood/img04.jpg"	"Terry McCaleb"	"bloodwork"
"2000"	"Space Cowboys"	"http://www.imdb.com/title/tt0186566/?ref_=nm_flmg_act_5"	"05"	"Clint Eastwood/img05.jpg"	"Frank Corvin"	"spacecowboys"
"1999"	"True Crime"	"http://www.imdb.com/title/tt0139668/?ref_=nm_flmg_act_6"	"06"	"Clint Eastwood/img06.jpg"	"Steve Everett"	"truecrime"
"1997"	"Absolute Power"	"http://www.imdb.com/title/tt0118548/?ref_=nm_flmg_act_7"	"07"	"Clint Eastwood/img07.jpg"	"Luther Whitney"	"absolutepower"
"1995"	"The Bridges of Madison County"	"http://www.imdb.com/title/tt0112579/?ref_=nm_flmg_act_8"	"08"	"Clint Eastwood/img08.jpg"	"Robert Kincaid"	"thebridgesofmadisoncounty"
"1995"	"Casper"	"http://www.imdb.com/title/tt0112642/?ref_=nm_flmg_act_9"	"09"	"Clint Eastwood/img09.jpg"	"Clint Eastwood"	"casper"
"1993"	"A Perfect World"	"http://www.imdb.com/title/tt0107808/?ref_=nm_flmg_act_10"	"10"	"Clint Eastwood/img10.jpg"	"Chief Red Garnett"	"aperfectworld"
"1993"	"In the Line of Fire"	"http://www.imdb.com/title/tt0107206/?ref_=nm_flmg_act_11"	"11"	"Clint Eastwood/img11.jpg"	"Frank Horrigan"	"inthelineoffire"
"1992"	"Unforgiven"	"http://www.imdb.com/title/tt0105695/?ref_=nm_flmg_act_12"	"12"	"Clint Eastwood/img12.jpg"	"Bill Munny"	"unforgiven"
