"bo_rank"	"studio"	"adjusted_gross"	"key"	"year"	"title"	"index"
1	"WB"	295639100	"everywhichwaybutloose"	"1978"	"Every Which Way But Loose"	"27"
2	"WB"	213375900	"anywhichwayyoucan"	"1980"	"Any Which Way You Can"	"24"
3	"Col."	200675400	"inthelineoffire"	"1993"	"In the Line of Fire"	"11"
4	"WB"	198050900	"unforgiven"	"1992"	"Unforgiven"	"12"
5	"WB"	182438500	"magnumforce"	"1973"	"Magnum Force"	"33"
6	"WB"	177045500	"dirtyharry"	"1971"	"Dirty Harry"	"37"
7	"WB"	176261200	"theenforcer"	"1976"	"The Enforcer"	"29"
8	"UA"	169843300	"thegoodthebadandtheugly"	"1966"	"The Good, the Bad and the Ugly"	"47"
9	"WB"	168964700	"suddenimpact"	"1983"	"Sudden Impact"	"21"
10	"WB"	167483800	"grantorino"	"2008"	"Gran Torino"	"02"
11	"Par."	139107600	"escapefromalcatraz"	"1979"	"Escape from Alcatraz"	"26"
12	"WB"	136242300	"spacecowboys"	"2000"	"Space Cowboys"	"05"
13	"WB"	133497700	"thebridgesofmadisoncounty"	"1995"	"The Bridges of Madison County"	"08"
14	"WB"	129003800	"firefox"	"1982"	"Firefox"	"23"
15	"WB"	127332100	"milliondollarbaby"	"2004"	"Million Dollar Baby"	"03"
16	"WB"	121228200	"theoutlawjoseywales"	"1976"	"The Outlaw Josey Wales"	"30"
17	"WB"	116347000	"tightrope"	"1984"	"Tightrope"	"20"
18	"UA"	101500000	"forafewdollarsmore"	"1965"	"For a Few Dollars More"	"48"
19	"UA"	98116700	"afistfulofdollars"	"1964"	"A Fistful of Dollars"	"49"
20	"WB"	96182500	"thegauntlet"	"1977"	"The Gauntlet"	"28"
21	"WB"	94719400	"palerider"	"1985"	"Pale Rider"	"18"
22	"UA"	94226700	"thunderboltandlightfoot"	"1974"	"Thunderbolt and Lightfoot"	"32"
23	"WB"	91322800	"heartbreakridge"	"1986"	"Heartbreak Ridge"	"17"
24	"WB"	90406000	"cityheat"	"1984"	"City Heat"	"19"
25	"Sony"	88574000	"absolutepower"	"1997"	"Absolute Power"	"07"
26	"Par."	82915500	"paintyourwagon"	"1969"	"Paint Your Wagon"	"42"
27	"WB"	74884400	"thedeadpool"	"1988"	"The Dead Pool"	"16"
28	"WB"	73248000	"broncobilly"	"1980"	"Bronco Billy"	"25"
29	"Uni."	72024900	"highplainsdrifter"	"1973"	"High Plains Drifter"	"35"
30	"UA"	68183200	"hangemhigh"	"1968"	"Hang 'Em High"	"45"
31	"WB"	60999200	"aperfectworld"	"1993"	"A Perfect World"	"10"
32	"Uni."	56245900	"theeigersanction"	"1975"	"The Eiger Sanction"	"31"
33	"Uni."	52164800	"playmistyforme"	"1971"	"Play Misty for Me"	"38"
34	"WB"	41584100	"therookie"	"1990"	"The Rookie"	"13"
35	"MGM"	40600000	"whereeaglesdare"	"1968"	"Where Eagles Dare"	"43"
36	"WB"	37326000	"troublewiththecurve"	"2012"	"Trouble with the Curve"	"01"
37	"WB"	36665900	"bloodwork"	"2002"	"Blood Work"	"04"
38	"Uni."	30235100	"joekidd"	"1972"	"Joe Kidd"	"36"
39	"MGM"	27241300	"kellysheroes"	"1970"	"Kelly's Heroes"	"40"
40	"WB"	26613400	"truecrime"	"1999"	"True Crime"	"06"
41	"Uni."	26455500	"twomulesforsistersara"	"1970"	"Two Mules for Sister Sara"	"41"
42	"WB"	24837600	"pinkcadillac"	"1989"	"Pink Cadillac"	"15"
43	"Uni."	19277300	"coogansbluff"	"1968"	"Coogan's Bluff"	"44"
44	"WB"	12387100	"honkytonkman"	"1982"	"Honkytonk Man"	"22"
45	"Uni."	5413300	"thebeguiled"	"1971"	"The Beguiled"	"39"
46	"WB"	4451800	"whitehunterblackheart"	"1990"	"White Hunter Black Heart"	"14"
